state_code,cve_ent,estado,categoria,variable,valor,anio,fuente,unidad
BCS,03,Baja California Sur,infraestructura_digital,personas_banca_electronica_pct,16.13,2024,INEGI ENDUTIH 2024,%
CAM,04,Campeche,infraestructura_digital,personas_banca_electronica_pct,4.5,2024,INEGI ENDUTIH 2024,%
COA,05,Coahuila,infraestructura_digital,personas_banca_electronica_pct,23.94,2024,INEGI ENDUTIH 2024,%
COL,06,Colima,infraestructura_digital,personas_banca_electronica_pct,21.31,2024,INEGI ENDUTIH 2024,%
CHP,07,Chiapas,infraestructura_digital,personas_banca_electronica_pct,6.58,2024,INEGI ENDUTIH 2024,%
CHH,08,Chihuahua,infraestructura_digital,personas_banca_electronica_pct,22.43,2024,INEGI ENDUTIH 2024,%
CMX,09,Ciudad de Mexico,infraestructura_digital,personas_banca_electronica_pct,17.1,2024,INEGI ENDUTIH 2024,%
DUR,10,Durango,infraestructura_digital,personas_banca_electronica_pct,12.35,2024,INEGI ENDUTIH 2024,%
GUA,11,Guanajuato,infraestructura_digital,personas_banca_electronica_pct,12.9,2024,INEGI ENDUTIH 2024,%
GRO,12,Guerrero,infraestructura_digital,personas_banca_electronica_pct,7.72,2024,INEGI ENDUTIH 2024,%
HID,13,Hidalgo,infraestructura_digital,personas_banca_electronica_pct,11.17,2024,INEGI ENDUTIH 2024,%
JAL,14,Jalisco,infraestructura_digital,personas_banca_electronica_pct,10.9,2024,INEGI ENDUTIH 2024,%
MEX,15,Mexico,infraestructura_digital,personas_banca_electronica_pct,16.63,2024,INEGI ENDUTIH 2024,%
MIC,16,Michoacan,infraestructura_digital,personas_banca_electronica_pct,8.41,2024,INEGI ENDUTIH 2024,%
MOR,17,Morelos,infraestructura_digital,personas_banca_electronica_pct,15.46,2024,INEGI ENDUTIH 2024,%
NAY,18,Nayarit,infraestructura_digital,personas_banca_electronica_pct,9.32,2024,INEGI ENDUTIH 2024,%
NLE,19,Nuevo Leon,infraestructura_digital,personas_banca_electronica_pct,27.83,2024,INEGI ENDUTIH 2024,%
OAX,20,Oaxaca,infraestructura_digital,personas_banca_electronica_pct,6.25,2024,INEGI ENDUTIH 2024,%
PUE,21,Puebla,infraestructura_digital,personas_banca_electronica_pct,12.73,2024,INEGI ENDUTIH 2024,%
QUE,22,Queretaro,infraestructura_digital,personas_banca_electronica_pct,18.29,2024,INEGI ENDUTIH 2024,%
ROO,23,Quintana Roo,infraestructura_digital,personas_banca_electronica_pct,13.06,2024,INEGI ENDUTIH 2024,%
SLP,24,San Luis Potosi,infraestructura_digital,personas_banca_electronica_pct,7.53,2024,INEGI ENDUTIH 2024,%
SIN,25,Sinaloa,infraestructura_digital,personas_banca_electronica_pct,17.21,2024,INEGI ENDUTIH 2024,%
SON,26,Sonora,infraestructura_digital,personas_banca_electronica_pct,8.45,2024,INEGI ENDUTIH 2024,%
TAB,27,Tabasco,infraestructura_digital,personas_banca_electronica_pct,13.68,2024,INEGI ENDUTIH 2024,%
TAM,28,Tamaulipas,infraestructura_digital,personas_banca_electronica_pct,25.01,2024,INEGI ENDUTIH 2024,%
TLA,29,Tlaxcala,infraestructura_digital,personas_banca_electronica_pct,14.08,2024,INEGI ENDUTIH 2024,%
VER,30,Veracruz,infraestructura_digital,personas_banca_electronica_pct,12.13,2024,INEGI ENDUTIH 2024,%
